,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
279,Jumla,29.2747,82.1838,284.77,90,99,0.53,NP,Tue May  4 14:40:25 2021
280,Hereford,52.0568,-2.7148,281.48,79,37,6.81,GB,Tue May  4 14:36:28 2021
281,Nam Phong,16.7023,102.8557,303.71,89,20,1.54,TH,Tue May  4 14:40:26 2021
282,Saint-Augustin,51.226,-58.6502,282.15,58,100,6.1,CA,Tue May  4 14:40:26 2021
283,Half Moon Bay,37.4636,-122.4286,298.15,76,1,8.75,US,Tue May  4 14:36:50 2021
284,Dicabisagan,17.0818,122.4157,299.2,88,100,1.43,PH,Tue May  4 14:40:26 2021
285,Tungor,53.3808,142.9564,269.89,89,6,2.81,RU,Tue May  4 14:40:27 2021
286,Hanna,51.6334,-111.9018,285.93,41,100,2.24,CA,Tue May  4 14:38:50 2021
287,Mata,40.683,-7.4592,287.67,47,8,3.23,PT,Tue May  4 14:40:27 2021
288,Pedasí,7.5333,-80.0333,298.71,99,100,2.75,PA,Tue May  4 14:40:28 2021
289,Alta Floresta,-9.8756,-56.0861,306.15,52,40,0.51,BR,Tue May  4 14:40:28 2021
290,Bosobolo,4.1833,19.9,296.67,83,34,1.02,CD,Tue May  4 14:40:28 2021
291,Basco,20.4487,121.9702,299.97,88,100,8.06,PH,Tue May  4 14:40:29 2021
292,Ampanihy,-24.7,44.75,291.27,75,0,3.28,MG,Tue May  4 14:40:29 2021
293,Touros,-5.1989,-35.4608,298.15,94,75,4.12,BR,Tue May  4 14:40:30 2021
294,Sundumbili,-29.1337,31.3975,290.15,88,0,1.03,ZA,Tue May  4 14:40:30 2021
295,Moree,-29.4667,149.85,285.15,94,90,2.06,AU,Tue May  4 14:40:31 2021
296,Vostok,46.4856,135.8833,276.36,94,100,2.69,RU,Tue May  4 14:40:31 2021
297,Grand Baie,-20.0182,57.5802,298.71,88,1,0.45,MU,Tue May  4 14:37:48 2021
298,Clyde River,70.4692,-68.5914,272.15,86,20,9.77,CA,Tue May  4 14:40:31 2021
299,Vestmannaeyjar,63.4427,-20.2734,277.37,58,14,1.8,IS,Tue May  4 14:40:32 2021
300,Tyazhinskiy,56.116,88.524,274.85,69,100,2.7,RU,Tue May  4 14:40:32 2021
301,Ossora,59.2353,163.0719,270.41,95,100,6.85,RU,Tue May  4 14:40:32 2021
302,Novikovo,51.1537,37.8879,279.06,67,44,3.74,RU,Tue May  4 14:40:33 2021
303,Turaif,31.6725,38.6637,303.15,19,0,3.09,SA,Tue May  4 14:40:33 2021
304,San Jerónimo,-11.9472,-75.2829,289.98,47,99,1.77,PE,Tue May  4 14:40:33 2021
305,Sabang,5.8933,95.3214,301.38,76,100,2.7,ID,Tue May  4 14:40:34 2021
306,Nanortalik,60.1432,-45.2371,278.49,59,100,5.86,GL,Tue May  4 14:40:34 2021
307,Lañgub,10.7981,123.5372,299.89,84,99,3.52,PH,Tue May  4 14:40:34 2021
308,Chapais,49.7834,-74.8492,282.15,46,90,4.12,CA,Tue May  4 14:40:35 2021
309,Aksarka,66.5606,67.7975,265.79,93,5,0.32,RU,Tue May  4 14:40:35 2021
310,Bijapur,16.8333,75.7,301.8,48,1,4.35,IN,Tue May  4 14:40:35 2021
311,Alice Springs,-23.7,133.8833,284.15,76,99,1.54,AU,Tue May  4 14:40:36 2021
312,Esperance,-33.8667,121.9,288.15,94,90,6.17,AU,Tue May  4 14:40:36 2021
313,Honningsvåg,70.9821,25.9704,274.15,86,90,4.63,NO,Tue May  4 14:40:36 2021
314,Havre-St-Pierre,50.2334,-63.5986,282.15,57,90,7.2,CA,Tue May  4 14:40:37 2021
315,Januária,-15.4833,-44.3667,305.26,28,1,1.94,BR,Tue May  4 14:40:37 2021
316,Ilulissat,69.2167,-51.1,279.15,42,1,2.57,GL,Tue May  4 14:40:38 2021
317,Kutoarjo,-7.7169,109.9128,287.59,100,100,0.93,ID,Tue May  4 14:40:38 2021
318,Xichang,27.8964,102.2634,287.56,89,100,1.48,CN,Tue May  4 14:40:38 2021
319,Vanimo,-2.6741,141.3028,298.24,87,100,1.41,PG,Tue May  4 14:40:39 2021
320,Zyryanka,65.75,150.85,272.72,98,100,1.54,RU,Tue May  4 14:40:39 2021
321,Karaton,-6.3424,106.1045,302.04,78,40,2.57,ID,Tue May  4 14:40:39 2021
322,Mareeba,-17.0,145.4333,294.15,88,0,0.51,AU,Tue May  4 14:40:40 2021
323,Hong Kong,22.2855,114.1577,297.59,90,45,1.11,HK,Tue May  4 14:39:35 2021
324,Abū Zabad,12.35,29.25,300.67,55,100,7.66,SD,Tue May  4 14:40:40 2021
325,São Filipe,14.8961,-24.4956,295.08,72,10,4.54,CV,Tue May  4 14:40:41 2021
326,Tamandaré,-8.7597,-35.1047,300.59,71,25,2.88,BR,Tue May  4 14:40:41 2021
327,Letlhakane,-21.4167,25.5833,289.46,36,0,2.95,BW,Tue May  4 14:40:41 2021
328,Jiancheng,30.391,104.5491,290.15,77,40,2.09,CN,Tue May  4 14:40:42 2021
329,Qaqortoq,60.7167,-46.0333,284.15,24,75,14.92,GL,Tue May  4 14:40:42 2021
330,Fortuna,40.5982,-124.1573,288.15,100,90,5.14,US,Tue May  4 14:40:43 2021
331,Cabo San Lucas,22.8909,-109.9124,301.48,56,1,4.63,MX,Tue May  4 14:40:43 2021
332,Fairmont,39.4851,-80.1426,296.48,88,100,4.32,US,Tue May  4 14:40:44 2021
333,Kurchum,48.5722,83.6542,285.42,46,5,2.74,KZ,Tue May  4 14:40:44 2021
334,Saryg-Sep,51.5,95.6,275.73,60,0,4.22,RU,Tue May  4 14:40:44 2021
335,Tautira,-17.7333,-149.15,301.15,69,20,1.54,PF,Tue May  4 14:40:45 2021
336,São João da Barra,-21.6403,-41.0511,301.15,57,20,4.12,BR,Tue May  4 14:40:45 2021
337,Liepāja,56.5419,21.0367,280.15,87,90,4.63,LV,Tue May  4 14:40:45 2021
338,Monte Carmelo,-18.7247,-47.4986,299.99,31,5,2.98,BR,Tue May  4 14:40:46 2021
339,Bengkulu,-3.8004,102.2655,297.76,89,98,1.53,ID,Tue May  4 14:40:46 2021
340,Verāval,20.9,70.3667,301.07,80,0,4.83,IN,Tue May  4 14:40:47 2021
341,Tura,25.5198,90.2201,293.91,91,100,1.23,IN,Tue May  4 14:40:09 2021
342,Prince George,53.9166,-122.753,283.71,66,40,4.12,CA,Tue May  4 14:40:47 2021
343,Oneida,43.2001,-75.4663,288.15,88,90,3.6,US,Tue May  4 14:40:47 2021
344,Talnakh,69.4865,88.3972,269.51,94,100,2.1,RU,Tue May  4 14:40:48 2021
345,Kahului,20.8947,-156.47,297.15,69,1,2.47,US,Tue May  4 14:40:48 2021
346,Baena,37.6167,-4.3225,300.15,34,0,1.54,ES,Tue May  4 14:38:09 2021
347,Sitrah,26.1547,50.6206,302.15,39,0,2.06,BH,Tue May  4 14:40:49 2021
348,Goālpāra,26.1667,90.6167,295.66,77,87,1.31,IN,Tue May  4 14:40:49 2021
349,Xai-Xai,-25.0519,33.6442,292.26,71,0,2.41,MZ,Tue May  4 14:40:49 2021
350,Kāman,27.65,77.2667,306.43,17,96,1.54,IN,Tue May  4 14:40:50 2021
351,Hobyo,5.3505,48.5268,302.71,72,100,5.8,SO,Tue May  4 14:40:50 2021
352,Río Gallegos,-51.6226,-69.2181,282.15,49,40,12.86,AR,Tue May  4 14:40:50 2021
353,Tuatapere,-46.1333,167.6833,279.82,81,18,1.34,NZ,Tue May  4 14:40:51 2021
354,Bilibino,68.0546,166.4372,260.98,85,5,1.09,RU,Tue May  4 14:40:51 2021
355,Haifa,32.8156,34.9892,294.82,68,100,3.77,IL,Tue May  4 14:40:51 2021
356,Oxford,51.7522,-1.256,282.15,76,40,3.09,GB,Tue May  4 14:40:52 2021
357,Discovery Bay,37.9085,-121.6002,301.48,26,1,5.14,US,Tue May  4 14:40:52 2021
358,Winsford,53.1833,-2.5167,281.48,72,84,3.13,GB,Tue May  4 14:40:52 2021
359,Uvalde,29.3669,-99.767,300.93,41,1,5.66,US,Tue May  4 14:40:53 2021
360,Belyy Yar,53.6039,91.3903,272.15,74,0,4.0,RU,Tue May  4 14:40:53 2021
361,Kumul,42.8,93.45,287.53,9,0,1.29,CN,Tue May  4 14:40:53 2021
362,Shakawe,-18.3667,21.85,291.53,44,0,2.11,BW,Tue May  4 14:40:54 2021
363,Gwadar,25.1216,62.3254,301.13,54,0,2.14,PK,Tue May  4 14:40:54 2021
364,Tanout,14.9709,8.8879,305.95,5,2,3.47,NE,Tue May  4 14:40:54 2021
365,Tsumeb,-19.2333,17.7167,287.15,72,0,3.95,NA,Tue May  4 14:40:55 2021
366,Dawei,14.0833,98.2,298.83,89,99,1.21,MM,Tue May  4 14:40:55 2021
367,Arlit,18.7369,7.3853,307.2,2,5,2.4,NE,Tue May  4 14:40:56 2021
368,Gizo Government Station,-8.103,156.8419,300.53,77,92,1.74,SB,Tue May  4 14:40:56 2021
369,Mwinilunga,-11.7358,24.4293,292.05,74,100,2.4,ZM,Tue May  4 14:40:56 2021
370,Fort Nelson,58.8053,-122.7002,279.15,87,90,4.12,CA,Tue May  4 14:40:02 2021
371,Gaza,31.5,34.4667,298.15,50,0,2.57,PS,Tue May  4 14:39:15 2021
372,Gagarin,55.5529,34.9954,276.7,85,97,6.25,RU,Tue May  4 14:40:57 2021
373,Forsytheganj,52.6333,29.7333,277.76,83,78,3.21,BY,Tue May  4 14:40:57 2021
374,Kattivākkam,13.2167,80.3167,303.71,70,20,2.06,IN,Tue May  4 14:40:58 2021
375,Belaya Gora,68.5333,146.4167,272.58,98,100,1.71,RU,Tue May  4 14:40:58 2021
376,Remiremont,48.0175,6.5882,283.15,87,100,7.72,FR,Tue May  4 14:40:58 2021
377,Colwyn Bay,53.2948,-3.7267,280.93,88,96,4.47,GB,Tue May  4 14:38:03 2021
378,Helong,42.5397,128.9972,279.12,95,100,1.45,CN,Tue May  4 14:40:59 2021
379,Progreso,21.2833,-89.6667,312.04,39,75,8.23,MX,Tue May  4 14:40:59 2021
380,Gemeente Dronten,52.5,5.7167,281.48,76,74,3.58,NL,Tue May  4 14:41:00 2021
381,Igarka,67.4667,86.5833,270.42,94,100,1.89,RU,Tue May  4 14:41:00 2021
382,Amazar,53.858,120.875,274.96,98,100,2.07,RU,Tue May  4 14:41:00 2021
383,Tevaitoa,-16.7833,-151.5,301.41,68,93,5.96,PF,Tue May  4 14:41:01 2021
384,Salme,28.0369,85.0942,290.15,94,75,1.64,NP,Tue May  4 14:41:01 2021
385,Şuraabad,40.8192,49.4687,289.15,88,0,4.12,AZ,Tue May  4 14:41:01 2021
386,Camacha,33.0833,-16.3333,291.15,59,40,6.69,PT,Tue May  4 14:41:02 2021
387,Beruwala,6.4788,79.9828,298.45,85,100,1.64,LK,Tue May  4 14:41:02 2021
388,Ekhabi,53.5102,142.9671,270.16,87,6,3.04,RU,Tue May  4 14:41:02 2021
389,Puerto Escondido,15.85,-97.0667,303.15,74,40,3.6,MX,Tue May  4 14:41:03 2021
390,Daru,-9.0763,143.2092,299.15,85,66,6.72,PG,Tue May  4 14:41:03 2021
391,Songea,-10.6833,35.65,288.36,95,62,1.31,TZ,Tue May  4 14:41:03 2021
392,Diffa,13.3154,12.6113,304.88,7,19,0.87,NE,Tue May  4 14:41:04 2021
393,Mount Gambier,-37.8333,140.7667,281.15,93,90,2.57,AU,Tue May  4 14:41:04 2021
394,Laguna,38.421,-121.4238,300.93,24,1,5.14,US,Tue May  4 14:41:05 2021
395,Hays,30.0502,-98.0336,298.71,56,21,0.45,US,Tue May  4 14:41:05 2021
396,Nouadhibou,20.931,-17.0347,295.15,60,1,9.77,MR,Tue May  4 14:41:01 2021
397,Opuwo,-18.0607,13.84,296.06,40,11,4.32,NA,Tue May  4 14:41:05 2021
398,Aklavik,68.2191,-135.0107,266.15,86,90,1.54,CA,Tue May  4 14:41:06 2021
399,Port Moresby,-9.4431,147.1797,299.15,89,40,5.14,PG,Tue May  4 14:41:06 2021
400,Jacareacanga,-6.2222,-57.7528,304.15,62,20,1.03,BR,Tue May  4 14:41:06 2021
401,Moyale,3.5167,39.0584,295.81,66,100,1.59,KE,Tue May  4 14:41:07 2021
402,Al Bardīyah,31.7561,25.0865,294.9,67,99,5.54,LY,Tue May  4 14:41:07 2021
403,Akim Swedru,5.8938,-1.0164,298.85,78,96,3.07,GH,Tue May  4 14:41:07 2021
404,Kurumkan,54.3,110.3,274.32,66,82,0.8,RU,Tue May  4 14:41:08 2021
405,Santa Cruz de la Sierra,-17.8,-63.1667,304.15,58,40,7.2,BO,Tue May  4 14:41:08 2021
406,Cairns,-16.9167,145.7667,294.15,88,0,0.51,AU,Tue May  4 14:41:08 2021
407,Port Blair,11.6667,92.75,302.2,75,11,1.95,IN,Tue May  4 14:41:09 2021
408,Manta,-0.95,-80.7333,301.15,74,20,5.66,EC,Tue May  4 14:41:09 2021
409,Hiratachō,35.4333,132.8167,290.15,67,90,4.12,JP,Tue May  4 14:41:09 2021
410,Morristown,36.214,-83.2949,291.15,100,1,5.66,US,Tue May  4 14:41:10 2021
411,Krāslava,55.8951,27.168,277.92,89,100,2.17,LV,Tue May  4 14:41:10 2021
412,Maricá,-22.9194,-42.8186,302.15,83,0,5.66,BR,Tue May  4 14:41:10 2021
413,Esso,55.9333,158.7,266.7,91,37,1.0,RU,Tue May  4 14:41:11 2021
414,Richards Bay,-28.783,32.0377,290.66,79,0,1.91,ZA,Tue May  4 14:40:45 2021
415,High Level,58.5169,-117.136,282.15,29,40,4.12,CA,Tue May  4 14:41:11 2021
416,Ostrovnoy,68.0531,39.5131,272.69,90,94,5.29,RU,Tue May  4 14:41:11 2021
417,Arkhipo-Osipovka,44.37,38.52,282.59,70,50,3.92,RU,Tue May  4 14:41:12 2021
418,Tel'ma,52.6983,103.7097,279.15,52,0,3.0,RU,Tue May  4 14:41:12 2021
419,Louis Trichardt,-23.0439,29.9032,287.54,53,0,1.17,ZA,Tue May  4 14:37:28 2021
420,Baruun-Urt,46.6806,113.2792,275.93,60,0,5.51,MN,Tue May  4 14:41:13 2021
421,Evensk,61.95,159.2333,264.47,75,6,5.4,RU,Tue May  4 14:41:13 2021
422,Hurghada,27.2574,33.8129,305.15,19,0,1.03,EG,Tue May  4 14:41:13 2021
423,Port Macquarie,-31.4333,152.9167,286.48,99,46,0.89,AU,Tue May  4 14:41:14 2021
424,Barinas,8.6226,-70.2075,304.15,66,99,2.57,VE,Tue May  4 14:40:23 2021
425,Puerto Ayacucho,5.6639,-67.6236,297.66,89,100,3.79,VE,Tue May  4 14:41:15 2021
426,Luganville,-15.5333,167.1667,297.95,86,0,0.91,VU,Tue May  4 14:41:15 2021
427,Baghdad,33.3406,44.4009,301.15,23,0,2.57,IQ,Tue May  4 14:41:16 2021
428,Barra Patuca,15.8,-84.2833,304.05,61,43,9.01,HN,Tue May  4 14:41:16 2021
429,Maniitsoq,65.4167,-52.9,275.49,78,7,8.63,GL,Tue May  4 14:41:16 2021
430,Sakakah,29.9697,40.2064,304.15,13,0,3.6,SA,Tue May  4 14:41:17 2021
431,Piaçabuçu,-10.4056,-36.4344,300.25,72,34,3.1,BR,Tue May  4 14:41:17 2021
432,Rosarito,32.3333,-117.0333,295.15,64,1,6.69,MX,Tue May  4 14:41:17 2021
433,Henties Bay,-22.116,14.2845,292.72,71,1,3.17,NA,Tue May  4 14:41:18 2021
434,Poum,-20.2333,164.0167,297.72,77,0,4.01,NC,Tue May  4 14:41:18 2021
435,Dajal,29.5577,70.3762,304.71,26,30,3.54,PK,Tue May  4 14:41:18 2021
436,Tomatlán,19.9333,-105.25,305.19,27,0,5.34,MX,Tue May  4 14:41:19 2021
437,Takayama,36.1333,137.25,285.93,87,53,2.45,JP,Tue May  4 14:41:19 2021
438,Sekoma,-24.4,23.8833,289.37,32,0,0.75,BW,Tue May  4 14:41:20 2021
439,Trairi,-3.2778,-39.2689,300.7,76,30,3.61,BR,Tue May  4 14:36:26 2021
440,Choix,26.7092,-108.3219,306.22,17,4,3.82,MX,Tue May  4 14:41:20 2021
441,Coquimbo,-29.9533,-71.3436,293.15,52,20,6.17,CL,Tue May  4 14:41:20 2021
442,Chernyshevskiy,63.0128,112.4714,269.32,95,13,0.98,RU,Tue May  4 14:41:21 2021
443,Deoli,25.75,75.3833,304.18,18,6,3.78,IN,Tue May  4 14:41:21 2021
444,Shache,38.4167,77.2406,292.67,14,100,4.03,CN,Tue May  4 14:41:22 2021
445,Malakal,9.5334,31.6605,302.87,47,71,2.13,SS,Tue May  4 14:41:22 2021
446,Jalu,29.0331,21.5482,307.13,18,100,5.68,LY,Tue May  4 14:41:22 2021
447,Lokosovo,61.1333,74.8167,276.35,96,100,3.92,RU,Tue May  4 14:41:23 2021
448,Meadow Lake,34.8014,-106.5436,293.15,51,20,4.09,US,Tue May  4 14:36:57 2021
449,Denpasar,-8.65,115.2167,300.15,89,20,3.09,ID,Tue May  4 14:39:06 2021
450,Novomykolayivka,47.9781,35.9102,282.15,53,0,2.0,UA,Tue May  4 14:41:24 2021
451,Bābai,22.7,77.9333,304.73,19,9,2.09,IN,Tue May  4 14:41:24 2021
452,Atyrau,47.1167,51.8833,288.15,58,0,3.0,KZ,Tue May  4 14:38:35 2021
453,Rājaldesar,28.0333,74.4667,305.72,23,76,2.79,IN,Tue May  4 14:41:24 2021
454,San Andrés,12.5847,-81.7006,305.15,66,40,4.63,CO,Tue May  4 14:41:25 2021
455,Shingū,33.7333,135.9833,288.63,87,100,2.17,JP,Tue May  4 14:41:25 2021
456,Mabaruma,8.2,-59.7833,299.64,91,100,1.53,GY,Tue May  4 14:41:25 2021
457,Poli,-3.3333,36.8,294.15,94,75,2.06,TZ,Tue May  4 14:41:26 2021
458,Reconquista,-29.15,-59.65,287.38,88,100,9.27,AR,Tue May  4 14:40:15 2021
459,Ocampo,21.65,-101.5,300.93,50,0,3.43,MX,Tue May  4 14:41:26 2021
460,Virginia Beach,36.8529,-75.978,305.37,45,20,3.09,US,Tue May  4 14:38:34 2021
461,Umm Kaddadah,13.6017,26.6876,302.24,33,24,3.56,SD,Tue May  4 14:41:27 2021
462,Gurupá,-1.405,-51.64,301.83,77,99,1.05,BR,Tue May  4 14:41:27 2021
463,Nísia Floresta,-6.0911,-35.2086,298.15,94,90,2.57,BR,Tue May  4 14:41:27 2021
464,Sioux Lookout,50.1001,-91.917,277.15,87,90,4.12,CA,Tue May  4 14:39:55 2021
465,Nalvo,16.8096,120.5108,297.27,75,21,1.47,PH,Tue May  4 14:41:28 2021
466,Chimbote,-9.0853,-78.5783,295.2,73,71,5.6,PE,Tue May  4 14:41:28 2021
467,Skanderborg,56.0399,9.9272,279.82,89,100,1.79,DK,Tue May  4 14:41:28 2021
468,Mogadouro,41.3403,-6.7119,287.27,44,3,3.82,PT,Tue May  4 14:41:30 2021
469,Emerald,-23.5333,148.1667,289.15,77,4,2.39,AU,Tue May  4 14:41:30 2021
470,Conceição do Araguaia,-8.2578,-49.2647,304.15,58,0,2.06,BR,Tue May  4 14:41:31 2021
471,Vágur,61.4732,-6.8119,277.08,61,100,14.2,FO,Tue May  4 14:41:31 2021
472,Cap-aux-Meules,47.3821,-61.8597,281.15,57,90,5.66,CA,Tue May  4 14:41:31 2021
473,Bandarbeyla,9.4942,50.8122,302.18,72,100,4.03,SO,Tue May  4 14:41:32 2021
474,Sorgun,39.8101,35.186,283.09,85,32,3.57,TR,Tue May  4 14:41:32 2021
475,Constitución,-35.3333,-72.4167,289.82,68,17,2.18,CL,Tue May  4 14:40:56 2021
476,Acaraú,-2.8856,-40.12,299.64,82,56,4.59,BR,Tue May  4 14:41:33 2021
477,Carballo,43.213,-8.691,288.15,84,100,1.34,ES,Tue May  4 14:41:33 2021
478,Taikang,46.8333,124.4167,280.48,45,15,3.8,CN,Tue May  4 14:41:33 2021
479,Siyabuswa,-25.1132,29.0445,290.48,38,0,2.98,ZA,Tue May  4 14:41:34 2021
480,Huoqiu,32.3394,116.2694,288.74,59,49,2.41,CN,Tue May  4 14:41:34 2021
481,Ponta Delgada,37.7333,-25.6667,292.15,72,20,3.6,PT,Tue May  4 14:41:34 2021
482,Kutum,14.2,24.6667,301.58,22,62,3.26,SD,Tue May  4 14:41:35 2021
483,Hamilton,39.1834,-84.5333,294.15,83,90,5.14,US,Tue May  4 14:37:52 2021
484,Kharan,28.5833,65.4167,301.36,21,37,3.83,PK,Tue May  4 14:41:35 2021
485,Inhambane,-23.865,35.3833,292.15,72,20,1.54,MZ,Tue May  4 14:39:20 2021
486,Ouallam,14.3188,2.0866,308.43,12,11,1.36,NE,Tue May  4 14:41:36 2021
487,Aljezur,37.3191,-8.8033,290.05,71,0,6.81,PT,Tue May  4 14:41:36 2021
488,Lepe,37.2548,-7.2043,293.0,58,0,4.77,ES,Tue May  4 14:41:37 2021
489,Broome,42.2506,-75.833,295.37,68,90,3.6,US,Tue May  4 14:41:37 2021
490,Kabare,-2.4683,28.8242,289.28,97,100,1.07,CD,Tue May  4 14:41:37 2021
491,Inta,66.0317,60.1659,271.82,86,90,5.62,RU,Tue May  4 14:41:38 2021
492,Gigmoto,13.7796,124.39,300.19,87,37,4.25,PH,Tue May  4 14:41:38 2021
493,Caravelas,-17.7125,-39.2481,299.08,71,7,3.52,BR,Tue May  4 14:41:38 2021
494,Myskhako,44.6714,37.7433,279.15,61,0,1.0,RU,Tue May  4 14:41:39 2021
495,Āsosa,10.0667,34.5333,292.68,69,12,1.13,ET,Tue May  4 14:41:39 2021
496,Kalmunai,7.4167,81.8167,299.63,82,100,2.57,LK,Tue May  4 14:41:39 2021
497,Conde,-7.2597,-34.9075,297.15,94,75,1.03,BR,Tue May  4 14:41:40 2021
498,Santa Cruz de Barahona,18.2085,-71.1008,305.15,58,20,6.17,DO,Tue May  4 14:41:40 2021
499,Coyhaique,-45.5752,-72.0662,281.15,61,0,2.06,CL,Tue May  4 14:41:40 2021
500,Chengzhong,30.95,113.55,290.15,82,0,2.0,CN,Tue May  4 14:41:41 2021
501,Aninoasa,44.9667,25.4333,288.15,51,0,1.54,RO,Tue May  4 14:41:41 2021
502,Maridi,4.9158,29.4742,295.1,74,100,1.62,SS,Tue May  4 14:41:41 2021
503,Kawalu,-7.3817,108.2082,295.85,94,98,0.8,ID,Tue May  4 14:41:42 2021
504,Haines Junction,60.7522,-137.5108,279.15,56,100,2.06,CA,Tue May  4 14:41:42 2021
505,Langham,52.3668,-106.9679,283.15,20,40,1.54,CA,Tue May  4 14:41:42 2021
506,Parbatipur,25.6649,88.9247,298.09,74,82,2.31,BD,Tue May  4 14:41:43 2021
507,Vila Franca do Campo,37.7167,-25.4333,292.15,72,20,3.6,PT,Tue May  4 14:41:43 2021
508,Pechenga,69.5259,31.1703,273.15,86,75,4.12,RU,Tue May  4 14:41:43 2021
509,Wattegama,6.7989,81.4808,297.15,100,20,1.12,LK,Tue May  4 14:41:44 2021
510,Plettenberg Bay,-34.0527,23.3716,290.28,84,89,2.94,ZA,Tue May  4 14:41:45 2021
511,Brownsville,25.9018,-97.4975,305.37,62,90,2.06,US,Tue May  4 14:41:45 2021
512,Sun City West,33.662,-112.3413,304.82,15,1,2.75,US,Tue May  4 14:41:45 2021
513,Lukavica,44.7628,18.1689,290.15,48,20,1.03,BA,Tue May  4 14:41:46 2021
514,Sur,22.5667,59.5289,302.18,68,5,5.56,OM,Tue May  4 14:41:46 2021
515,Cap Malheureux,-19.9842,57.6142,298.71,88,0,0.45,MU,Tue May  4 14:41:46 2021
516,Ancud,-41.8697,-73.8203,287.59,71,20,4.12,CL,Tue May  4 14:41:47 2021
517,Wairoa,-39.0333,177.3667,279.26,92,0,1.79,NZ,Tue May  4 14:41:47 2021
518,Padang,-0.9492,100.3543,298.08,94,100,1.7,ID,Tue May  4 14:41:47 2021
519,Sucúa,-2.4667,-78.1667,300.15,47,20,2.57,EC,Tue May  4 14:41:48 2021
520,Mozarlândia,-14.7447,-50.5706,305.8,29,88,1.5,BR,Tue May  4 14:41:48 2021
521,Correntina,-13.3433,-44.6367,303.55,32,9,2.3,BR,Tue May  4 14:41:48 2021
522,Oshkosh,44.0247,-88.5426,284.26,62,90,4.63,US,Tue May  4 14:41:07 2021
523,Biak,-0.9131,122.8766,298.18,80,56,2.15,ID,Tue May  4 14:41:49 2021
524,Lompoc,34.6391,-120.4579,297.59,52,0,3.09,US,Tue May  4 14:37:15 2021
525,Coahuayana Viejo,18.7333,-103.6833,301.15,26,1,4.12,MX,Tue May  4 14:41:50 2021
526,Tual,-5.6667,132.75,301.69,75,100,7.71,ID,Tue May  4 14:41:50 2021
527,Grushevskaya,47.4406,39.9511,284.82,43,0,3.0,RU,Tue May  4 14:41:50 2021
528,Binzhou,37.3667,118.0167,283.34,35,0,4.12,CN,Tue May  4 14:41:51 2021
529,Elbeuf,49.2867,1.0029,283.71,53,75,7.72,FR,Tue May  4 14:41:51 2021
530,Zhigansk,66.7697,123.3711,270.98,99,99,2.07,RU,Tue May  4 14:41:51 2021
531,Marsá Maţrūḩ,31.3525,27.2453,297.15,60,0,5.14,EG,Tue May  4 14:37:11 2021
532,Dubna,56.7333,37.1667,275.33,97,100,5.49,RU,Tue May  4 14:41:52 2021
533,Broken Hill,-31.95,141.4333,280.15,65,62,4.12,AU,Tue May  4 14:41:52 2021
534,Ust-Kuyga,70.0167,135.6,270.5,97,100,1.21,RU,Tue May  4 14:41:53 2021
535,Winneba,5.3511,-0.6231,301.15,78,0,7.2,GH,Tue May  4 14:41:53 2021
536,Matara,5.9485,80.5353,298.39,88,100,1.42,LK,Tue May  4 14:41:54 2021
537,Rosetta,31.4044,30.4164,301.15,32,0,1.54,EG,Tue May  4 14:41:54 2021
